time,height
0,0
0.033012821,-0.001422665
0.066025641,-0.007499856
0.099038462,-0.02329585
0.132051282,-0.05163282
0.165064103,-0.086333025
0.198076923,-0.13362058
0.231089744,-0.190758381
0.264102564,-0.259323815
0.297115385,-0.341705847
0.330128205,-0.433072251
0.363141026,-0.536739961
0.396153846,-0.64853266
0.429166667,-0.769512324
0.462179487,-0.911885114
0.495192308,-1.060068428
0.528205128,-1.225916207
0.561217949,-1.411992055
0.594230769,-1.604391005
0.62724359,-1.822238341
0.66025641,-1.998386492
