time,height
0,0.001999995
0.032685185,-0.007550977
0.06537037,-0.028740259
0.098055556,-0.056856013
0.130740741,-0.09096655
0.163425926,-0.137289925
0.196111111,-0.186832162
0.228796296,-0.253225576
0.261481481,-0.33523754
0.294166667,-0.423745828
0.326851852,-0.516645642
0.359537037,-0.638605242
0.392222222,-0.755646826
0.424907407,-0.88508574
0.457592593,-1.034650464
0.490277778,-1.189347332
0.522962963,-1.363129394
0.555648148,-1.569028442
0.588333333,-1.781352453
0.621018519,-2.003690476
